customer_id,signup_date,region,acquisition_channel,age,tenure_months,recency_days,frequency,avg_order_value,monetary_total,num_support_tickets,email_subscribed,discount_rate_used,churned
C100474,2023-12-17,South,Organic,56.0,25,64,7,51.79,362.53,0,0,0.74,1
C100185,2022-10-21,East,Organic,71.0,16,15,3,111.06,333.18,0,1,0.342,0
C100043,2022-08-18, South ,Organic,57.0,29,19,7,70.99,496.93,1,1,0.093,0
C101442,2022-05-31,North,Referral,42.0,5,19,1,25.63,25.63,0,1,0.172,1
C100060,2024-08-27,east,Email,40.0,4,32,3,,230.88,2,0,0.12,0
C101332,2024-09-16,South,Paid Search,,7,1,2,101.02,202.04,0,0,0.269,0
C100530,2021-09-06,east,Organic,38.0,7,170,3,75.16,225.48,1,1,0.094,0
C100409,2023-06-01, West ,Referral,44.0,7,26,1,46.94,46.94,1,1,0.496,0
C100899,2024-09-16,South,Social,30.0,11,104,2,151.68,303.36,0,0,0.33,0
C100363,2023-07-05,North,Paid Search,27.0,11,132,2,45.66,91.32,2,1,0.426,0
C100284,2023-06-10,East,Organic,59.0,9,50,1,110.68,110.68,0,1,0.113,0
C100117,2023-04-03,east,Social,51.0,4,48,3,,485.16,0,0,0.7,1
C100731,2022-07-19,North,Social,29.0,12,119,3,10.0,30.0,0,0,0.261,1
C100204,2021-12-30, north ,Paid Search,51.0,19,118,3,147.8,443.4,1,1,0.191,0
C100259,2021-09-19,East,Email,52.0,3,19,2,108.99,217.98,0,1,0.087,0
C100683,2024-07-16,South,Organic,26.0,8,67,2,99.11,198.22,1,0,0.248,0
C100635,2022-09-16,North,Paid Search,39.0,20,1,3,,135.96,2,1,0.09,0
C100981,2021-06-29,West,Organic,48.0,13,13,4,57.41,229.64,0,0,0.255,0
C100734,2021-06-09,North,Social,37.0,6,30,3,79.02,237.06,0,0,0.262,0
C100454,2021-12-18,North,Email,21.0,14,118,2,16.57,33.14,0,1,0.333,1
C100693,2023-11-19,South,Organic,49.0,6,54,3,129.74,389.22,1,0,0.168,0
C101271,2021-10-29, South ,Referral,30.0,5,48,2,78.41,156.82,0,1,0.317,0
C100892,2022-08-22,North,Paid Search,45.0,6,29,3,,144.84,0,0,0.157,0
C101133,2021-12-22,East,Social,,16,44,3,81.61,244.83,0,0,0.172,0
C100367,2021-07-11,east,Organic,32.0,4,27,1,61.13,61.13,1,0,0.432,0
C101359,2023-03-16, North ,Paid Search,37.0,8,98,2,107.96,215.92,0,0,0.046,0
C100540,2022-12-19,west,,39.0,9,29,4,87.29,349.16,0,0,0.346,0
C100510,2024-09-12,north,Organic,40.0,7,5,2,64.69,129.38,0,0,0.183,0
C100389,2021-04-17, West ,Paid Search,57.0,18,269,3,42.95,128.85,0,1,0.297,1
C101062,2024-01-27,south,Social,29.0,15,1,3,92.94,278.82,0,1,0.189,0
C101216,2021-05-09,South,Paid Search,80.0,11,33,3,22.99,68.97,3,1,0.095,0
C100699,2022-09-29,South,Social,29.0,29,23,5,,434.05,0,1,0.579,0
C101280,2024-10-06,South,Organic,48.0,11,29,6,83.75,502.5,0,0,0.192,0
C100285,2023-07-28,South,Referral,33.0,17,7,4,,435.12,2,0,0.355,0
C100071,2023-08-08,South,,38.0,2,25,1,82.5,82.5,0,1,0.044,0
C100587,2022-08-31, South ,Paid Search,,7,85,2,,155.72,0,1,0.26,0
C101236,2022-08-07,North,Organic,44.0,15,19,3,84.9,254.7,1,1,0.288,0
C100872,2024-06-03,West,Paid Search,43.0,6,52,2,92.9,185.8,0,0,0.451,0
C101049,2021-11-24,North,Organic,59.0,5,88,1,105.33,105.33,0,1,0.092,0
C100638,2024-04-13,East,Referral,42.0,10,63,3,113.57,340.71,1,1,0.433,0
C100960,2021-02-09,South,Referral,,11,146,3,52.26,156.78,0,1,0.233,1
C100350,2024-02-17,East,Organic,48.0,10,27,2,122.71,245.42,3,1,0.416,1
C100995,2024-04-23,South,Paid Search,37.0,2,31,1,49.92,49.92,0,0,0.198,0
C100581,2024-10-11,South,,51.0,16,173,1,96.6,96.6,0,1,0.598,1
C100111,2021-11-26,North,Referral,47.0,9,35,2,24.93,49.86,1,0,0.136,0
C100498,2022-03-14,South,Referral,42.0,13,3,1,99.57,99.57,0,0,0.174,1
C100712,2023-04-21,West,Referral,43.0,8,290,5,99.46,497.3,0,0,0.318,0
C101056,2024-07-22,West,Organic,66.0,4,47,2,72.87,145.74,3,0,0.222,0
C100116,2022-08-23,East,Organic,32.0,7,50,1,89.66,89.66,0,0,0.474,0
C100861,2024-06-30,east,Organic,60.0,6,13,3,57.58,172.74,1,0,0.465,0
C100101,2023-07-03,East,Organic,49.0,22,69,8,98.2,785.6,2,1,0.219,0
C100925,2022-11-02,South,Social,18.0,17,67,9,109.05,981.45,0,0,0.303,0
C101322,2021-05-23,North,Organic,29.0,26,83,4,60.04,240.16,0,0,0.426,0
C100895,2024-06-20,West,Email,41.0,7,15,3,90.89,272.67,1,1,0.601,0
C100720,2021-03-06,South,Paid Search,35.0,20,39,5,140.1,700.5,1,0,0.244,0
C100666,2023-11-17,West,Referral,34.0,6,21,1,74.73,74.73,1,1,0.272,0
C101459,2024-10-06,South,Email,32.0,7,3,1,67.87,67.87,0,0,0.371,0
C100452,2022-12-17,East,Referral,34.0,9,149,2,53.73,107.46,2,1,0.228,1
C101306,2024-07-21,east,Paid Search,31.0,14,184,3,97.53,292.59,0,0,0.092,0
C100463,2021-06-23,South,Organic,67.0,4,8,2,87.56,175.12,1,1,0.038,1
C100769,2022-11-06,east,Referral,47.0,6,1,1,103.79,103.79,1,1,0.2,0
C101473,2023-10-28,South,Email,42.0,9,19,1,19.55,19.55,0,0,0.248,1
C100252,2024-07-29,South,Referral,63.0,7,13,1,93.47,93.47,1,1,0.078,0
C100756,2021-06-13,South,Email,49.0,4,15,3,87.03,261.09,1,0,0.081,0
C100898,2023-07-18,North,Organic,40.0,1,46,1,94.0,94.0,2,1,0.483,0
C100127,2023-09-19,North,Organic,40.0,3,43,1,98.26,98.26,2,0,0.265,0
C100063,2022-08-12,East,Email,49.0,13,1,2,118.23,236.46,1,1,0.049,0
C101020,2021-08-13,West,Organic,35.0,8,18,1,80.49,80.49,3,0,0.074,0
C101439,2023-09-10,West,Organic,37.0,8,81,3,,349.86,0,0,0.318,0
C100058,2024-01-23,North,Social,33.0,5,43,2,84.94,169.88,1,1,0.285,0
C100804,2022-10-11,north,Paid Search,55.0,18,152,2,71.95,143.9,2,0,0.32,0
C100348,2024-03-25,East,Paid Search,46.0,17,29,4,144.98,579.92,1,1,0.304,0
